Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  23.93,  0.068, 1.837, 24.13, 0.037701, 0.001504, 0.037888, 0.000383, 0.037888, -0.000048, 0.037702, -0.000380, 0.037413, -0.000524, 0.037096, -0.000576, 0.036773, -0.000509, 0.036489, -0.000379, 0.036257, -0.000112, 0.036152, 0.000385, 0.036381, 0.001200, 
0, 0,  98.0,  23.94,  0.068, 1.840, 24.14, 0.037161, 0.001015, 0.038151, 0.000210, 0.037934, -0.000041, 0.037698, -0.000353, 0.037413, -0.000522, 0.037082, -0.000570, 0.036762, -0.000509, 0.036503, -0.000373, 0.036262, -0.000093, 0.036138, 0.000363, 0.036367, 0.001204, 
0, 0,  98.0,  23.90,  0.068, 1.839, 24.15, 0.038735, 0.001369, 0.037983, 0.000187, 0.037943, -0.000125, 0.037697, -0.000376, 0.037413, -0.000526, 0.037087, -0.000577, 0.036773, -0.000531, 0.036497, -0.000368, 0.036250, -0.000105, 0.036149, 0.000346, 0.036391, 0.001179, 
0, 0,  98.0,  23.92,  0.068, 1.839, 24.20, 0.038735, 0.001362, 0.037980, 0.000189, 0.037941, -0.000125, 0.037697, -0.000375, 0.037413, -0.000525, 0.037087, -0.000580, 0.036766, -0.000529, 0.036490, -0.000387, 0.036265, -0.000127, 0.036127, 0.000321, 0.036349, 0.001121, 
0, 0,  98.0,  23.94,  0.068, 1.839, 24.27, 0.038732, 0.001373, 0.037985, 0.000187, 0.037945, -0.000122, 0.037700, -0.000376, 0.037409, -0.000524, 0.037086, -0.000581, 0.036780, -0.000523, 0.036482, -0.000362, 0.036261, -0.000127, 0.036136, 0.000350, 0.036362, 0.001186, 
0, 0,  98.0,  23.93,  0.068, 1.840, 24.29, 0.038733, 0.001366, 0.037980, 0.000189, 0.037941, -0.000122, 0.037695, -0.000373, 0.037413, -0.000525, 0.037090, -0.000579, 0.036779, -0.000534, 0.036498, -0.000370, 0.036261, -0.000123, 0.036134, 0.000324, 0.036361, 0.001127, 
0, 0,  98.0,  23.83,  0.068, 1.839, 24.29, 0.038733, 0.001362, 0.037979, 0.000191, 0.037941, -0.000124, 0.037698, -0.000373, 0.037414, -0.000524, 0.037085, -0.000579, 0.036767, -0.000533, 0.036495, -0.000388, 0.036273, -0.000136, 0.036151, 0.000307, 0.036341, 0.001095, 
0, 0,  98.0,  23.92,  0.068, 1.840, 24.30, 0.038732, 0.001364, 0.037977, 0.000190, 0.037938, -0.000123, 0.037695, -0.000371, 0.037412, -0.000526, 0.037087, -0.000579, 0.036772, -0.000539, 0.036503, -0.000385, 0.036268, -0.000114, 0.036142, 0.000322, 0.036357, 0.001087, 
0, 0,  98.0,  23.94,  0.068, 1.841, 24.28, 0.038728, 0.001368, 0.037975, 0.000189, 0.037935, -0.000122, 0.037690, -0.000374, 0.037407, -0.000524, 0.037086, -0.000579, 0.036772, -0.000535, 0.036498, -0.000382, 0.036255, -0.000121, 0.036121, 0.000318, 0.036329, 0.001100, 
0, 0,  98.0,  23.94,  0.068, 1.839, 24.26, 0.038726, 0.001370, 0.037975, 0.000189, 0.037936, -0.000121, 0.037692, -0.000373, 0.037410, -0.000525, 0.037085, -0.000581, 0.036772, -0.000531, 0.036491, -0.000375, 0.036241, -0.000133, 0.036137, 0.000284, 0.036363, 0.001092, 
0, 0,  98.0,  23.93,  0.068, 1.839, 24.28, 0.038726, 0.001363, 0.037972, 0.000192, 0.037936, -0.000121, 0.037693, -0.000371, 0.037410, -0.000525, 0.037084, -0.000580, 0.036772, -0.000536, 0.036493, -0.000385, 0.036267, -0.000138, 0.036150, 0.000332, 0.036338, 0.001089, 
0, 0,  98.0,  23.84,  0.068, 1.840, 24.25, 0.038725, 0.001366, 0.037971, 0.000191, 0.037932, -0.000122, 0.037689, -0.000371, 0.037405, -0.000524, 0.037081, -0.000578, 0.036769, -0.000542, 0.036496, -0.000384, 0.036263, -0.000118, 0.036119, 0.000313, 0.036337, 0.001111, 
0, 0,  98.0,  23.93,  0.068, 1.840, 24.23, 0.038722, 0.001369, 0.037971, 0.000190, 0.037931, -0.000120, 0.037688, -0.000372, 0.037406, -0.000522, 0.037085, -0.000580, 0.036768, -0.000535, 0.036495, -0.000384, 0.036243, -0.000121, 0.036129, 0.000271, 0.036359, 0.001073, 
0, 0,  98.0,  23.89,  0.068, 1.840, 24.27, 0.038723, 0.001362, 0.037969, 0.000192, 0.037932, -0.000121, 0.037691, -0.000371, 0.037409, -0.000524, 0.037080, -0.000579, 0.036763, -0.000536, 0.036487, -0.000394, 0.036269, -0.000146, 0.036140, 0.000286, 0.036313, 0.001038, 
0, 0,  98.0,  23.82,  0.068, 1.840, 24.30, 0.038721, 0.001364, 0.037968, 0.000192, 0.037930, -0.000121, 0.037688, -0.000370, 0.037406, -0.000525, 0.037082, -0.000582, 0.036769, -0.000535, 0.036491, -0.000381, 0.036259, -0.000127, 0.036125, 0.000324, 0.036346, 0.001098, 
0, 0,  98.0,  23.92,  0.068, 1.842, 24.27, 0.038717, 0.001368, 0.037965, 0.000191, 0.037927, -0.000120, 0.037683, -0.000370, 0.037401, -0.000522, 0.037081, -0.000577, 0.036768, -0.000539, 0.036490, -0.000380, 0.036245, -0.000126, 0.036122, 0.000295, 0.036324, 0.001041, 
0, 0,  98.0,  23.83,  0.068, 1.839, 24.27, 0.038718, 0.001361, 0.037964, 0.000192, 0.037929, -0.000120, 0.037687, -0.000370, 0.037404, -0.000525, 0.037076, -0.000580, 0.036765, -0.000534, 0.036485, -0.000393, 0.036266, -0.000145, 0.036143, 0.000303, 0.036328, 0.001040, 
0, 0,  98.0,  23.92,  0.068, 1.840, 24.19, 0.038716, 0.001363, 0.037962, 0.000193, 0.037926, -0.000119, 0.037686, -0.000369, 0.037404, -0.000523, 0.037080, -0.000580, 0.036759, -0.000542, 0.036491, -0.000394, 0.036261, -0.000142, 0.036135, 0.000310, 0.036339, 0.001046, 
0, 0,  98.0,  23.85,  0.068, 1.841, 24.24, 0.038714, 0.001367, 0.037961, 0.000192, 0.037922, -0.000119, 0.037681, -0.000369, 0.037398, -0.000523, 0.037075, -0.000579, 0.036764, -0.000542, 0.036491, -0.000387, 0.036253, -0.000128, 0.036111, 0.000285, 0.036314, 0.001067, 
0, 0,  98.0,  23.84,  0.068, 1.841, 24.26, 0.038712, 0.001369, 0.037960, 0.000191, 0.037922, -0.000118, 0.037681, -0.000369, 0.037400, -0.000523, 0.037079, -0.000583, 0.036767, -0.000533, 0.036484, -0.000383, 0.036240, -0.000142, 0.036135, 0.000280, 0.036339, 0.001053, 
0, 0,  98.0,  23.92,  0.068, 1.840, 24.22, 0.038712, 0.001362, 0.037958, 0.000193, 0.037922, -0.000119, 0.037682, -0.000370, 0.037401, -0.000522, 0.037072, -0.000580, 0.036759, -0.000533, 0.036485, -0.000394, 0.036265, -0.000138, 0.036137, 0.000271, 0.036311, 0.001002, 
0, 0,  98.0,  23.82,  0.068, 1.840, 24.25, 0.038710, 0.001365, 0.037957, 0.000193, 0.037921, -0.000118, 0.037680, -0.000368, 0.037400, -0.000523, 0.037076, -0.000582, 0.036763, -0.000534, 0.036486, -0.000387, 0.036251, -0.000130, 0.036114, 0.000306, 0.036332, 0.001072, 
0, 0,  98.0,  23.93,  0.068, 1.842, 24.22, 0.038709, 0.001368, 0.037956, 0.000193, 0.037918, -0.000118, 0.037677, -0.000367, 0.037396, -0.000522, 0.037074, -0.000577, 0.036765, -0.000543, 0.036487, -0.000383, 0.036243, -0.000134, 0.036119, 0.000278, 0.036332, 0.001028, 
0, 0,  98.0,  23.93,  0.068, 1.840, 24.19, 0.038709, 0.001361, 0.037955, 0.000195, 0.037920, -0.000118, 0.037681, -0.000368, 0.037397, -0.000521, 0.037073, -0.000581, 0.036754, -0.000541, 0.036485, -0.000405, 0.036265, -0.000161, 0.036134, 0.000263, 0.036305, 0.001054, 
0, 0,  98.0,  23.93,  0.068, 1.840, 24.23, 0.038707, 0.001363, 0.037954, 0.000194, 0.037919, -0.000118, 0.037678, -0.000369, 0.037399, -0.000522, 0.037073, -0.000581, 0.036757, -0.000535, 0.036479, -0.000404, 0.036259, -0.000154, 0.036125, 0.000268, 0.036329, 0.001002, 
0, 0,  98.0,  23.92,  0.068, 1.841, 24.24, 0.038705, 0.001366, 0.037952, 0.000193, 0.037917, -0.000117, 0.037675, -0.000366, 0.037396, -0.000521, 0.037071, -0.000581, 0.036759, -0.000535, 0.036482, -0.000399, 0.036264, -0.000136, 0.036135, 0.000297, 0.036305, 0.001042, 
0, 0,  98.0,  23.83,  0.068, 1.841, 24.22, 0.038703, 0.001368, 0.037952, 0.000193, 0.037914, -0.000117, 0.037675, -0.000367, 0.037395, -0.000520, 0.037075, -0.000582, 0.036753, -0.000539, 0.036488, -0.000397, 0.036252, -0.000144, 0.036107, 0.000292, 0.036332, 0.001054, 
0, 0,  98.0,  23.93,  0.068, 1.840, 24.20, 0.038700, 0.001372, 0.037952, 0.000194, 0.037915, -0.000116, 0.037675, -0.000367, 0.037396, -0.000522, 0.037070, -0.000576, 0.036762, -0.000538, 0.036479, -0.000382, 0.036239, -0.000130, 0.036117, 0.000275, 0.036329, 0.001014, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.24, 0.038700, 0.001366, 0.037948, 0.000195, 0.037912, -0.000116, 0.037672, -0.000366, 0.037394, -0.000521, 0.037070, -0.000576, 0.036757, -0.000544, 0.036482, -0.000397, 0.036266, -0.000144, 0.036138, 0.000277, 0.036311, 0.001023, 
0, 0,  98.0,  23.93,  0.068, 1.842, 24.24, 0.038699, 0.001367, 0.037947, 0.000194, 0.037911, -0.000114, 0.037670, -0.000365, 0.037389, -0.000519, 0.037069, -0.000578, 0.036760, -0.000539, 0.036484, -0.000389, 0.036254, -0.000149, 0.036118, 0.000290, 0.036325, 0.001026, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.26, 0.038696, 0.001371, 0.037947, 0.000194, 0.037911, -0.000114, 0.037671, -0.000366, 0.037393, -0.000521, 0.037069, -0.000581, 0.036761, -0.000534, 0.036477, -0.000397, 0.036239, -0.000142, 0.036105, 0.000274, 0.036297, 0.001023, 
0, 0,  98.0,  23.82,  0.068, 1.840, 24.25, 0.038693, 0.001374, 0.037947, 0.000194, 0.037912, -0.000114, 0.037673, -0.000366, 0.037393, -0.000520, 0.037073, -0.000580, 0.036761, -0.000533, 0.036475, -0.000389, 0.036233, -0.000150, 0.036125, 0.000255, 0.036311, 0.001042, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.26, 0.038695, 0.001366, 0.037943, 0.000195, 0.037908, -0.000114, 0.037666, -0.000364, 0.037388, -0.000518, 0.037066, -0.000581, 0.036755, -0.000539, 0.036476, -0.000397, 0.036254, -0.000146, 0.036125, 0.000285, 0.036304, 0.000996, 
0, 0,  98.0,  23.82,  0.068, 1.841, 24.25, 0.038692, 0.001370, 0.037942, 0.000194, 0.037906, -0.000113, 0.037666, -0.000365, 0.037389, -0.000519, 0.037069, -0.000580, 0.036755, -0.000534, 0.036480, -0.000388, 0.036245, -0.000140, 0.036104, 0.000285, 0.036296, 0.001031, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.27, 0.038691, 0.001372, 0.037943, 0.000194, 0.037907, -0.000113, 0.037668, -0.000366, 0.037391, -0.000520, 0.037065, -0.000579, 0.036757, -0.000531, 0.036474, -0.000387, 0.036238, -0.000140, 0.036119, 0.000263, 0.036330, 0.001029, 
0, 0,  98.0,  23.89,  0.068, 1.841, 24.23, 0.038691, 0.001366, 0.037940, 0.000196, 0.037904, -0.000114, 0.037667, -0.000364, 0.037389, -0.000518, 0.037068, -0.000579, 0.036751, -0.000535, 0.036478, -0.000397, 0.036255, -0.000160, 0.036128, 0.000251, 0.036281, 0.000975, 
0, 0,  98.0,  23.93,  0.068, 1.842, 24.18, 0.038689, 0.001367, 0.037937, 0.000196, 0.037901, -0.000113, 0.037662, -0.000364, 0.037383, -0.000517, 0.037064, -0.000577, 0.036750, -0.000540, 0.036479, -0.000393, 0.036246, -0.000142, 0.036105, 0.000281, 0.036324, 0.001026, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.22, 0.038686, 0.001371, 0.037937, 0.000195, 0.037902, -0.000112, 0.037664, -0.000364, 0.037387, -0.000520, 0.037064, -0.000580, 0.036755, -0.000534, 0.036473, -0.000385, 0.036235, -0.000145, 0.036107, 0.000258, 0.036301, 0.000992, 
0, 0,  98.0,  23.82,  0.068, 1.841, 24.18, 0.038687, 0.001364, 0.037935, 0.000197, 0.037902, -0.000113, 0.037666, -0.000362, 0.037387, -0.000518, 0.037064, -0.000579, 0.036743, -0.000541, 0.036477, -0.000407, 0.036257, -0.000160, 0.036128, 0.000266, 0.036293, 0.001049, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.20, 0.038685, 0.001367, 0.037933, 0.000197, 0.037898, -0.000112, 0.037661, -0.000361, 0.037383, -0.000517, 0.037061, -0.000575, 0.036751, -0.000541, 0.036479, -0.000390, 0.036251, -0.000144, 0.036120, 0.000273, 0.036317, 0.001000, 
0, 0,  98.0,  23.86,  0.068, 1.842, 24.20, 0.038683, 0.001370, 0.037933, 0.000196, 0.037897, -0.000112, 0.037659, -0.000363, 0.037383, -0.000517, 0.037063, -0.000578, 0.036747, -0.000533, 0.036474, -0.000387, 0.036237, -0.000146, 0.036097, 0.000267, 0.036283, 0.000975, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.19, 0.038680, 0.001373, 0.037932, 0.000196, 0.037897, -0.000112, 0.037661, -0.000363, 0.037384, -0.000519, 0.037060, -0.000575, 0.036751, -0.000539, 0.036469, -0.000380, 0.036226, -0.000145, 0.036118, 0.000262, 0.036329, 0.001027, 
0, 0,  98.0,  23.91,  0.068, 1.841, 24.21, 0.038680, 0.001366, 0.037929, 0.000197, 0.037895, -0.000112, 0.037658, -0.000361, 0.037381, -0.000519, 0.037060, -0.000578, 0.036746, -0.000539, 0.036473, -0.000393, 0.036246, -0.000159, 0.036118, 0.000269, 0.036302, 0.000991, 
0, 0,  98.0,  23.81,  0.068, 1.842, 24.16, 0.038678, 0.001369, 0.037927, 0.000197, 0.037893, -0.000112, 0.037655, -0.000360, 0.037377, -0.000515, 0.037059, -0.000577, 0.036744, -0.000539, 0.036473, -0.000396, 0.036238, -0.000139, 0.036101, 0.000273, 0.036304, 0.001028, 
0, 0,  98.0,  23.93,  0.068, 1.841, 24.17, 0.038676, 0.001372, 0.037927, 0.000197, 0.037892, -0.000111, 0.037657, -0.000361, 0.037381, -0.000519, 0.037059, -0.000578, 0.036752, -0.000538, 0.036473, -0.000384, 0.036231, -0.000160, 0.036110, 0.000240, 0.036312, 0.000977, 
