Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  23.93,  0.043, 1.836, 22.83, 0.040565, 0.001687, 0.040815, 0.000362, 0.040833, -0.000112, 0.040624, -0.000518, 0.040269, -0.000724, 0.039848, -0.000855, 0.039379, -0.000874, 0.038911, -0.000810, 0.038485, -0.000617, 0.038127, -0.000215, 0.038084, 0.000503, 
0, 0,  98.0,  23.92,  0.051, 1.837, 22.90, 0.042390, 0.001032, 0.040902, 0.000292, 0.040833, -0.000157, 0.040631, -0.000501, 0.040273, -0.000726, 0.039842, -0.000867, 0.039382, -0.000887, 0.038923, -0.000796, 0.038484, -0.000593, 0.038122, -0.000236, 0.038058, 0.000521, 
0, 0,  98.0,  23.82,  0.051, 1.837, 22.88, 0.041785, 0.001443, 0.040958, 0.000139, 0.040898, -0.000205, 0.040618, -0.000506, 0.040273, -0.000729, 0.039838, -0.000859, 0.039380, -0.000894, 0.038920, -0.000786, 0.038475, -0.000610, 0.038147, -0.000227, 0.038059, 0.000536, 
0, 0,  98.0,  23.91,  0.044, 1.838, 22.92, 0.041788, 0.001425, 0.040954, 0.000140, 0.040893, -0.000205, 0.040611, -0.000505, 0.040265, -0.000725, 0.039837, -0.000862, 0.039372, -0.000887, 0.038920, -0.000802, 0.038494, -0.000595, 0.038139, -0.000234, 0.038061, 0.000471, 
0, 0,  98.0,  23.92,  0.044, 1.838, 22.95, 0.041785, 0.001429, 0.040951, 0.000139, 0.040890, -0.000204, 0.040607, -0.000504, 0.040264, -0.000726, 0.039836, -0.000861, 0.039376, -0.000893, 0.038924, -0.000798, 0.038487, -0.000595, 0.038118, -0.000216, 0.038093, 0.000627, 
0, 0,  98.0,  23.84,  0.051, 1.838, 22.92, 0.041783, 0.001431, 0.040952, 0.000139, 0.040892, -0.000204, 0.040611, -0.000506, 0.040268, -0.000728, 0.039833, -0.000860, 0.039377, -0.000892, 0.038915, -0.000790, 0.038474, -0.000599, 0.038134, -0.000231, 0.038079, 0.000512, 
0, 0,  98.0,  23.92,  0.051, 1.838, 22.89, 0.041784, 0.001424, 0.040951, 0.000141, 0.040893, -0.000203, 0.040612, -0.000503, 0.040269, -0.000728, 0.039837, -0.000861, 0.039371, -0.000899, 0.038919, -0.000805, 0.038507, -0.000604, 0.038139, -0.000221, 0.038052, 0.000505, 
0, 0,  98.0,  23.92,  0.045, 1.839, 22.87, 0.041783, 0.001427, 0.040949, 0.000140, 0.040888, -0.000203, 0.040606, -0.000503, 0.040261, -0.000724, 0.039834, -0.000861, 0.039367, -0.000893, 0.038922, -0.000810, 0.038487, -0.000604, 0.038116, -0.000227, 0.038069, 0.000518, 
0, 0,  98.0,  23.91,  0.051, 1.838, 22.90, 0.041782, 0.001431, 0.040950, 0.000140, 0.040890, -0.000204, 0.040609, -0.000505, 0.040266, -0.000726, 0.039840, -0.000866, 0.039373, -0.000889, 0.038922, -0.000794, 0.038474, -0.000607, 0.038120, -0.000256, 0.038069, 0.000470, 
0, 0,  98.0,  23.82,  0.051, 1.838, 22.88, 0.041783, 0.001423, 0.040950, 0.000141, 0.040894, -0.000203, 0.040612, -0.000502, 0.040269, -0.000727, 0.039833, -0.000858, 0.039366, -0.000896, 0.038921, -0.000814, 0.038496, -0.000610, 0.038147, -0.000225, 0.038054, 0.000502, 
0, 0,  98.0,  23.92,  0.044, 1.838, 22.87, 0.041781, 0.001426, 0.040948, 0.000141, 0.040890, -0.000202, 0.040607, -0.000503, 0.040263, -0.000724, 0.039835, -0.000861, 0.039368, -0.000895, 0.038923, -0.000806, 0.038494, -0.000599, 0.038128, -0.000208, 0.038077, 0.000527, 
0, 0,  98.0,  23.92,  0.044, 1.839, 22.85, 0.041779, 0.001430, 0.040947, 0.000141, 0.040887, -0.000202, 0.040605, -0.000502, 0.040262, -0.000725, 0.039834, -0.000862, 0.039376, -0.000890, 0.038918, -0.000793, 0.038482, -0.000605, 0.038119, -0.000242, 0.038046, 0.000492, 
0, 0,  98.0,  23.81,  0.051, 1.838, 22.84, 0.041778, 0.001432, 0.040948, 0.000141, 0.040889, -0.000202, 0.040609, -0.000504, 0.040268, -0.000726, 0.039834, -0.000860, 0.039370, -0.000892, 0.038925, -0.000804, 0.038486, -0.000596, 0.038117, -0.000219, 0.038058, 0.000520, 
0, 0,  98.0,  23.92,  0.051, 1.837, 22.86, 0.041777, 0.001435, 0.040949, 0.000140, 0.040890, -0.000201, 0.040613, -0.000504, 0.040267, -0.000724, 0.039839, -0.000864, 0.039373, -0.000883, 0.038913, -0.000790, 0.038472, -0.000620, 0.038136, -0.000240, 0.038064, 0.000454, 
0, 0,  98.0,  23.81,  0.045, 1.840, 22.93, 0.041779, 0.001426, 0.040945, 0.000142, 0.040887, -0.000200, 0.040605, -0.000499, 0.040260, -0.000723, 0.039833, -0.000858, 0.039375, -0.000894, 0.038925, -0.000800, 0.038488, -0.000596, 0.038122, -0.000217, 0.038055, 0.000492, 
0, 0,  98.0,  23.89,  0.044, 1.838, 22.98, 0.041778, 0.001431, 0.040946, 0.000142, 0.040888, -0.000201, 0.040608, -0.000503, 0.040266, -0.000724, 0.039839, -0.000864, 0.039372, -0.000888, 0.038920, -0.000793, 0.038470, -0.000612, 0.038131, -0.000260, 0.038083, 0.000476, 
0, 0,  98.0,  23.88,  0.051, 1.838, 23.01, 0.041780, 0.001423, 0.040946, 0.000142, 0.040890, -0.000202, 0.040612, -0.000501, 0.040269, -0.000727, 0.039833, -0.000857, 0.039373, -0.000895, 0.038924, -0.000803, 0.038500, -0.000604, 0.038149, -0.000239, 0.038040, 0.000470, 
0, 0,  98.0,  23.92,  0.044, 1.839, 23.11, 0.041778, 0.001425, 0.040944, 0.000142, 0.040888, -0.000200, 0.040607, -0.000500, 0.040264, -0.000723, 0.039836, -0.000861, 0.039371, -0.000894, 0.038922, -0.000808, 0.038490, -0.000600, 0.038126, -0.000222, 0.038073, 0.000531, 
0, 0,  98.0,  23.91,  0.045, 1.839, 23.18, 0.041777, 0.001430, 0.040944, 0.000142, 0.040885, -0.000200, 0.040605, -0.000501, 0.040261, -0.000722, 0.039836, -0.000864, 0.039370, -0.000887, 0.038921, -0.000798, 0.038475, -0.000606, 0.038120, -0.000255, 0.038067, 0.000446, 
0, 0,  98.0,  23.79,  0.051, 1.838, 23.26, 0.041778, 0.001422, 0.040946, 0.000144, 0.040890, -0.000201, 0.040612, -0.000501, 0.040268, -0.000726, 0.039831, -0.000861, 0.039373, -0.000888, 0.038917, -0.000802, 0.038499, -0.000611, 0.038144, -0.000230, 0.038045, 0.000534, 
0, 0,  98.0,  23.90,  0.051, 1.838, 23.30, 0.041777, 0.001425, 0.040945, 0.000144, 0.040888, -0.000200, 0.040609, -0.000500, 0.040268, -0.000725, 0.039838, -0.000862, 0.039370, -0.000887, 0.038919, -0.000804, 0.038497, -0.000598, 0.038130, -0.000236, 0.038069, 0.000450, 
0, 0,  98.0,  23.91,  0.045, 1.840, 23.30, 0.041777, 0.001428, 0.040943, 0.000144, 0.040885, -0.000200, 0.040605, -0.000499, 0.040259, -0.000720, 0.039833, -0.000859, 0.039371, -0.000891, 0.038922, -0.000802, 0.038483, -0.000603, 0.038122, -0.000242, 0.038045, 0.000516, 
0, 0,  98.0,  23.79,  0.044, 1.838, 23.36, 0.041775, 0.001431, 0.040944, 0.000143, 0.040885, -0.000199, 0.040606, -0.000501, 0.040265, -0.000724, 0.039838, -0.000859, 0.039379, -0.000890, 0.038920, -0.000791, 0.038473, -0.000603, 0.038148, -0.000241, 0.038078, 0.000513, 
0, 0,  98.0,  23.90,  0.051, 1.838, 23.45, 0.041777, 0.001423, 0.040944, 0.000143, 0.040889, -0.000200, 0.040611, -0.000500, 0.040269, -0.000726, 0.039832, -0.000857, 0.039375, -0.000893, 0.038924, -0.000800, 0.038495, -0.000609, 0.038150, -0.000217, 0.038060, 0.000493, 
0, 0,  98.0,  23.91,  0.044, 1.839, 23.51, 0.041776, 0.001427, 0.040944, 0.000143, 0.040885, -0.000200, 0.040608, -0.000499, 0.040265, -0.000721, 0.039838, -0.000861, 0.039372, -0.000892, 0.038924, -0.000806, 0.038487, -0.000601, 0.038123, -0.000221, 0.038058, 0.000515, 
0, 0,  98.0,  23.91,  0.045, 1.839, 23.53, 0.041775, 0.001430, 0.040943, 0.000143, 0.040883, -0.000200, 0.040604, -0.000499, 0.040262, -0.000722, 0.039836, -0.000857, 0.039379, -0.000892, 0.038922, -0.000792, 0.038477, -0.000597, 0.038140, -0.000237, 0.038088, 0.000499, 
0, 0,  98.0,  23.83,  0.051, 1.838, 23.55, 0.041777, 0.001423, 0.040944, 0.000144, 0.040890, -0.000199, 0.040612, -0.000499, 0.040269, -0.000724, 0.039832, -0.000856, 0.039375, -0.000896, 0.038925, -0.000804, 0.038501, -0.000610, 0.038157, -0.000236, 0.038041, 0.000506, 
0, 0,  98.0,  23.81,  0.051, 1.838, 23.51, 0.041775, 0.001425, 0.040943, 0.000144, 0.040887, -0.000200, 0.040609, -0.000498, 0.040269, -0.000724, 0.039837, -0.000859, 0.039371, -0.000893, 0.038924, -0.000799, 0.038497, -0.000593, 0.038129, -0.000207, 0.038082, 0.000511, 
0, 0,  98.0,  23.92,  0.045, 1.840, 23.47, 0.041774, 0.001428, 0.040941, 0.000144, 0.040884, -0.000198, 0.040604, -0.000497, 0.040262, -0.000721, 0.039833, -0.000856, 0.039378, -0.000891, 0.038924, -0.000790, 0.038488, -0.000609, 0.038122, -0.000242, 0.038060, 0.000449, 
0, 0,  98.0,  23.80,  0.044, 1.839, 23.47, 0.041773, 0.001431, 0.040943, 0.000143, 0.040885, -0.000198, 0.040606, -0.000500, 0.040267, -0.000723, 0.039840, -0.000862, 0.039373, -0.000884, 0.038920, -0.000795, 0.038475, -0.000617, 0.038149, -0.000230, 0.038069, 0.000467, 
0, 0,  98.0,  23.91,  0.051, 1.838, 23.43, 0.041775, 0.001423, 0.040942, 0.000145, 0.040887, -0.000198, 0.040610, -0.000499, 0.040269, -0.000723, 0.039832, -0.000857, 0.039369, -0.000892, 0.038923, -0.000807, 0.038494, -0.000598, 0.038142, -0.000214, 0.038084, 0.000489, 
0, 0,  98.0,  23.91,  0.044, 1.839, 23.44, 0.041773, 0.001427, 0.040941, 0.000145, 0.040884, -0.000198, 0.040606, -0.000498, 0.040265, -0.000722, 0.039838, -0.000859, 0.039373, -0.000893, 0.038923, -0.000801, 0.038483, -0.000593, 0.038121, -0.000223, 0.038049, 0.000495, 
0, 0,  98.0,  23.91,  0.045, 1.839, 23.43, 0.041773, 0.001430, 0.040940, 0.000144, 0.040882, -0.000197, 0.040603, -0.000499, 0.040261, -0.000720, 0.039837, -0.000858, 0.039375, -0.000892, 0.038923, -0.000796, 0.038472, -0.000601, 0.038139, -0.000232, 0.038084, 0.000522, 
0, 0,  98.0,  23.91,  0.051, 1.838, 23.38, 0.041774, 0.001423, 0.040942, 0.000146, 0.040886, -0.000198, 0.040610, -0.000498, 0.040267, -0.000723, 0.039833, -0.000856, 0.039371, -0.000894, 0.038920, -0.000807, 0.038500, -0.000619, 0.038130, -0.000245, 0.038055, 0.000493, 
0, 0,  98.0,  23.91,  0.051, 1.838, 23.39, 0.041769, 0.001434, 0.040943, 0.000143, 0.040887, -0.000196, 0.040610, -0.000499, 0.040268, -0.000721, 0.039840, -0.000862, 0.039377, -0.000881, 0.038916, -0.000793, 0.038479, -0.000603, 0.038149, -0.000227, 0.038073, 0.000522, 
0, 0,  98.0,  23.90,  0.045, 1.840, 23.41, 0.041771, 0.001428, 0.040939, 0.000144, 0.040881, -0.000197, 0.040602, -0.000496, 0.040261, -0.000721, 0.039831, -0.000857, 0.039376, -0.000887, 0.038920, -0.000797, 0.038499, -0.000596, 0.038142, -0.000205, 0.038068, 0.000480, 
0, 0,  98.0,  23.91,  0.044, 1.839, 23.35, 0.041769, 0.001431, 0.040938, 0.000145, 0.040881, -0.000196, 0.040603, -0.000498, 0.040264, -0.000721, 0.039838, -0.000859, 0.039373, -0.000890, 0.038921, -0.000799, 0.038485, -0.000597, 0.038121, -0.000210, 0.038063, 0.000517, 
0, 0,  98.0,  23.91,  0.051, 1.838, 23.33, 0.041768, 0.001434, 0.040940, 0.000145, 0.040884, -0.000197, 0.040608, -0.000497, 0.040268, -0.000722, 0.039834, -0.000856, 0.039380, -0.000892, 0.038922, -0.000790, 0.038477, -0.000597, 0.038141, -0.000239, 0.038096, 0.000500, 
0, 0,  98.0,  23.90,  0.044, 1.839, 23.31, 0.041769, 0.001427, 0.040937, 0.000146, 0.040881, -0.000196, 0.040605, -0.000496, 0.040263, -0.000718, 0.039838, -0.000860, 0.039370, -0.000891, 0.038921, -0.000814, 0.038502, -0.000607, 0.038143, -0.000219, 0.038059, 0.000500, 
0, 0,  98.0,  23.91,  0.045, 1.840, 23.31, 0.041768, 0.001429, 0.040935, 0.000145, 0.040879, -0.000195, 0.040601, -0.000497, 0.040261, -0.000719, 0.039835, -0.000859, 0.039374, -0.000885, 0.038921, -0.000797, 0.038490, -0.000592, 0.038123, -0.000238, 0.038072, 0.000476, 
0, 0,  98.0,  23.91,  0.051, 1.838, 23.32, 0.041767, 0.001433, 0.040937, 0.000145, 0.040881, -0.000195, 0.040605, -0.000497, 0.040267, -0.000722, 0.039835, -0.000856, 0.039377, -0.000891, 0.038927, -0.000792, 0.038481, -0.000596, 0.038137, -0.000236, 0.038077, 0.000472, 
0, 0,  98.0,  23.80,  0.051, 1.838, 23.31, 0.041769, 0.001425, 0.040937, 0.000146, 0.040882, -0.000195, 0.040608, -0.000495, 0.040268, -0.000719, 0.039838, -0.000860, 0.039367, -0.000888, 0.038920, -0.000804, 0.038502, -0.000617, 0.038155, -0.000260, 0.038064, 0.000509, 
0, 0,  98.0,  23.87,  0.045, 1.840, 23.31, 0.041768, 0.001428, 0.040935, 0.000145, 0.040878, -0.000196, 0.040600, -0.000494, 0.040259, -0.000719, 0.039832, -0.000856, 0.039374, -0.000889, 0.038926, -0.000796, 0.038500, -0.000604, 0.038144, -0.000210, 0.038086, 0.000503, 
0, 0,  98.0,  23.91,  0.044, 1.839, 23.31, 0.041766, 0.001432, 0.040935, 0.000146, 0.040879, -0.000196, 0.040602, -0.000496, 0.040264, -0.000721, 0.039839, -0.000858, 0.039376, -0.000892, 0.038923, -0.000795, 0.038482, -0.000587, 0.038123, -0.000222, 0.038065, 0.000499, 
0, 0,  98.0,  23.78,  0.051, 1.839, 23.32, 0.041764, 0.001434, 0.040937, 0.000145, 0.040881, -0.000195, 0.040606, -0.000496, 0.040267, -0.000722, 0.039835, -0.000859, 0.039379, -0.000882, 0.038915, -0.000787, 0.038484, -0.000604, 0.038150, -0.000232, 0.038088, 0.000510, 
0, 0,  98.0,  23.91,  0.044, 1.839, 23.29, 0.041766, 0.001427, 0.040934, 0.000147, 0.040878, -0.000195, 0.040603, -0.000495, 0.040262, -0.000719, 0.039837, -0.000858, 0.039368, -0.000891, 0.038925, -0.000806, 0.038497, -0.000594, 0.038145, -0.000215, 0.038068, 0.000485, 
