Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  22.80,  0.064, 1.762, 23.86, 0.037196, 0.000766, 0.036540, 0.000412, 0.036594, 0.000107, 0.036579, -0.000082, 0.036452, -0.000248, 0.036254, -0.000360, 0.036014, -0.000390, 0.035745, -0.000303, 0.035534, -0.000067, 0.035461, 0.000344, 0.035632, 0.001129, 
0, 0,  98.0,  22.89,  0.064, 1.763, 23.91, 0.036676, 0.001336, 0.036822, 0.000522, 0.036599, 0.000093, 0.036570, -0.000075, 0.036447, -0.000247, 0.036260, -0.000373, 0.036010, -0.000389, 0.035744, -0.000294, 0.035561, -0.000052, 0.035447, 0.000353, 0.035655, 0.001063, 
0, 0,  98.0,  22.89,  0.064, 1.763, 23.96, 0.037315, 0.001393, 0.036624, 0.000312, 0.036656, 0.000086, 0.036553, -0.000094, 0.036448, -0.000250, 0.036255, -0.000372, 0.036010, -0.000404, 0.035764, -0.000290, 0.035548, -0.000054, 0.035433, 0.000361, 0.035632, 0.001109, 
0, 0,  98.0,  22.79,  0.064, 1.763, 24.10, 0.037314, 0.001396, 0.036626, 0.000313, 0.036656, 0.000085, 0.036554, -0.000095, 0.036449, -0.000249, 0.036256, -0.000374, 0.036011, -0.000395, 0.035760, -0.000289, 0.035537, -0.000057, 0.035457, 0.000353, 0.035650, 0.001101, 
0, 0,  98.0,  22.89,  0.064, 1.763, 24.19, 0.037317, 0.001389, 0.036623, 0.000313, 0.036656, 0.000085, 0.036552, -0.000094, 0.036444, -0.000249, 0.036252, -0.000372, 0.036004, -0.000404, 0.035762, -0.000297, 0.035566, -0.000059, 0.035460, 0.000378, 0.035646, 0.001100, 
0, 0,  98.0,  22.89,  0.064, 1.764, 24.27, 0.037316, 0.001393, 0.036625, 0.000312, 0.036655, 0.000084, 0.036552, -0.000095, 0.036447, -0.000248, 0.036256, -0.000375, 0.036004, -0.000398, 0.035762, -0.000293, 0.035552, -0.000064, 0.035434, 0.000347, 0.035641, 0.001086, 
0, 0,  98.0,  22.86,  0.064, 1.763, 24.26, 0.037314, 0.001395, 0.036625, 0.000313, 0.036657, 0.000086, 0.036554, -0.000095, 0.036448, -0.000251, 0.036253, -0.000373, 0.036009, -0.000405, 0.035760, -0.000285, 0.035541, -0.000052, 0.035452, 0.000352, 0.035661, 0.001110, 
0, 0,  98.0,  22.85,  0.064, 1.763, 24.29, 0.037316, 0.001388, 0.036624, 0.000313, 0.036656, 0.000085, 0.036553, -0.000093, 0.036448, -0.000250, 0.036253, -0.000372, 0.036006, -0.000406, 0.035764, -0.000298, 0.035562, -0.000058, 0.035464, 0.000366, 0.035636, 0.001099, 
0, 0,  98.0,  22.78,  0.064, 1.764, 24.31, 0.037317, 0.001390, 0.036624, 0.000312, 0.036656, 0.000085, 0.036553, -0.000094, 0.036447, -0.000248, 0.036252, -0.000374, 0.036004, -0.000396, 0.035762, -0.000290, 0.035554, -0.000046, 0.035441, 0.000352, 0.035656, 0.001088, 
0, 0,  98.0,  22.89,  0.064, 1.763, 24.26, 0.037316, 0.001394, 0.036626, 0.000313, 0.036657, 0.000085, 0.036554, -0.000096, 0.036448, -0.000250, 0.036256, -0.000373, 0.036008, -0.000401, 0.035762, -0.000289, 0.035546, -0.000052, 0.035436, 0.000360, 0.035635, 0.001098, 
0, 0,  98.0,  22.89,  0.064, 1.763, 24.27, 0.037320, 0.001386, 0.036625, 0.000314, 0.036658, 0.000085, 0.036556, -0.000094, 0.036449, -0.000250, 0.036253, -0.000372, 0.036008, -0.000403, 0.035763, -0.000295, 0.035566, -0.000069, 0.035460, 0.000356, 0.035652, 0.001141, 
0, 0,  98.0,  22.88,  0.064, 1.763, 24.23, 0.037319, 0.001389, 0.036626, 0.000313, 0.036658, 0.000086, 0.036556, -0.000093, 0.036448, -0.000250, 0.036252, -0.000374, 0.036009, -0.000401, 0.035766, -0.000290, 0.035559, -0.000063, 0.035458, 0.000377, 0.035671, 0.001138, 
0, 0,  98.0,  22.82,  0.064, 1.764, 24.17, 0.037319, 0.001392, 0.036626, 0.000312, 0.036659, 0.000085, 0.036556, -0.000093, 0.036450, -0.000251, 0.036259, -0.000372, 0.036010, -0.000402, 0.035769, -0.000285, 0.035553, -0.000055, 0.035435, 0.000364, 0.035620, 0.001133, 
0, 0,  98.0,  22.79,  0.064, 1.763, 24.15, 0.037319, 0.001394, 0.036629, 0.000312, 0.036661, 0.000085, 0.036559, -0.000095, 0.036453, -0.000252, 0.036256, -0.000375, 0.036012, -0.000396, 0.035761, -0.000287, 0.035542, -0.000052, 0.035458, 0.000355, 0.035659, 0.001157, 
0, 0,  98.0,  22.87,  0.064, 1.763, 24.17, 0.037322, 0.001387, 0.036628, 0.000313, 0.036659, 0.000084, 0.036558, -0.000096, 0.036451, -0.000250, 0.036257, -0.000375, 0.036003, -0.000397, 0.035762, -0.000298, 0.035566, -0.000052, 0.035463, 0.000355, 0.035634, 0.001074, 
0, 0,  98.0,  22.78,  0.064, 1.764, 24.16, 0.037321, 0.001390, 0.036628, 0.000312, 0.036660, 0.000086, 0.036556, -0.000094, 0.036450, -0.000250, 0.036256, -0.000373, 0.036015, -0.000403, 0.035770, -0.000288, 0.035564, -0.000053, 0.035437, 0.000373, 0.035644, 0.001152, 
