Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  21.37,  0.060, 1.646, 25.66, 0.037178, 0.001619, 0.036860, 0.000460, 0.036585, 0.000166, 0.036577, -0.000088, 0.036454, -0.000239, 0.036257, -0.000351, 0.036018, -0.000364, 0.035764, -0.000279, 0.035561, -0.000026, 0.035441, 0.000494, 0.035615, 0.001380, 
0, 0,  98.0,  21.27,  0.060, 1.646, 25.67, 0.036648, 0.001374, 0.036811, 0.000558, 0.036598, 0.000108, 0.036573, -0.000059, 0.036456, -0.000239, 0.036272, -0.000353, 0.036005, -0.000371, 0.035771, -0.000255, 0.035545, -0.000016, 0.035452, 0.000487, 0.035633, 0.001347, 
0, 0,  98.0,  21.36,  0.060, 1.646, 25.67, 0.037296, 0.001426, 0.036613, 0.000341, 0.036656, 0.000105, 0.036559, -0.000080, 0.036455, -0.000239, 0.036258, -0.000359, 0.036013, -0.000386, 0.035769, -0.000271, 0.035564, -0.000011, 0.035444, 0.000473, 0.035643, 0.001374, 
0, 0,  98.0,  21.36,  0.060, 1.647, 25.71, 0.037294, 0.001429, 0.036612, 0.000341, 0.036653, 0.000105, 0.036556, -0.000080, 0.036452, -0.000239, 0.036258, -0.000362, 0.036013, -0.000386, 0.035771, -0.000266, 0.035565, -0.000001, 0.035460, 0.000478, 0.035623, 0.001378, 
0, 0,  98.0,  21.33,  0.060, 1.648, 25.73, 0.037291, 0.001432, 0.036611, 0.000340, 0.036651, 0.000105, 0.036554, -0.000081, 0.036450, -0.000238, 0.036257, -0.000363, 0.036012, -0.000377, 0.035767, -0.000265, 0.035561, 0.000014, 0.035442, 0.000478, 0.035643, 0.001343, 
0, 0,  98.0,  21.35,  0.060, 1.646, 25.75, 0.037290, 0.001435, 0.036612, 0.000340, 0.036652, 0.000105, 0.036555, -0.000082, 0.036451, -0.000239, 0.036257, -0.000360, 0.036012, -0.000384, 0.035769, -0.000252, 0.035550, 0.000017, 0.035436, 0.000487, 0.035637, 0.001391, 
0, 0,  98.0,  21.36,  0.060, 1.646, 25.77, 0.037287, 0.001438, 0.036611, 0.000341, 0.036652, 0.000107, 0.036555, -0.000081, 0.036451, -0.000239, 0.036259, -0.000363, 0.036015, -0.000373, 0.035763, -0.000248, 0.035544, 0.000007, 0.035451, 0.000484, 0.035646, 0.001412, 
0, 0,  98.0,  21.36,  0.060, 1.647, 25.76, 0.037289, 0.001430, 0.036608, 0.000340, 0.036648, 0.000106, 0.036550, -0.000081, 0.036446, -0.000239, 0.036252, -0.000363, 0.036009, -0.000379, 0.035763, -0.000259, 0.035559, -0.000002, 0.035455, 0.000508, 0.035635, 0.001405, 
0, 0,  98.0,  21.36,  0.060, 1.647, 25.66, 0.037286, 0.001434, 0.036608, 0.000341, 0.036648, 0.000105, 0.036551, -0.000081, 0.036447, -0.000239, 0.036256, -0.000359, 0.036006, -0.000384, 0.035765, -0.000255, 0.035552, 0.000016, 0.035429, 0.000514, 0.035622, 0.001409, 
0, 0,  98.0,  21.35,  0.060, 1.646, 25.64, 0.037284, 0.001437, 0.036608, 0.000341, 0.036649, 0.000106, 0.036553, -0.000082, 0.036448, -0.000239, 0.036254, -0.000363, 0.036005, -0.000377, 0.035762, -0.000250, 0.035537, 0.000001, 0.035435, 0.000454, 0.035649, 0.001337, 
