Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  20.98,  0.062, 1.618, 25.25, 0.039949, 0.000704, 0.039139, 0.000421, 0.039205, 0.000052, 0.039164, -0.000222, 0.038945, -0.000449, 0.038638, -0.000603, 0.038239, -0.000647, 0.037846, -0.000520, 0.037507, -0.000199, 0.037248, 0.000410, 0.037347, 0.001550, 
0, 0,  98.0,  21.07,  0.062, 1.618, 25.30, 0.039547, 0.000060, 0.039320, 0.000605, 0.039305, 0.000049, 0.039156, -0.000229, 0.038948, -0.000450, 0.038632, -0.000614, 0.038254, -0.000654, 0.037862, -0.000513, 0.037498, -0.000204, 0.037251, 0.000368, 0.037349, 0.001494, 
0, 0,  98.0,  21.07,  0.062, 1.618, 25.36, 0.040002, 0.001505, 0.039264, 0.000303, 0.039287, 0.000017, 0.039139, -0.000230, 0.038948, -0.000450, 0.038631, -0.000615, 0.038243, -0.000652, 0.037867, -0.000532, 0.037521, -0.000229, 0.037268, 0.000366, 0.037335, 0.001523, 
0, 0,  98.0,  21.03,  0.062, 1.618, 25.41, 0.040001, 0.001507, 0.039264, 0.000302, 0.039285, 0.000017, 0.039136, -0.000231, 0.038945, -0.000451, 0.038630, -0.000616, 0.038247, -0.000648, 0.037861, -0.000532, 0.037510, -0.000214, 0.037254, 0.000388, 0.037343, 0.001453, 
0, 0,  98.0,  21.07,  0.062, 1.619, 25.41, 0.040000, 0.001511, 0.039264, 0.000302, 0.039284, 0.000017, 0.039135, -0.000231, 0.038945, -0.000451, 0.038634, -0.000617, 0.038243, -0.000657, 0.037865, -0.000529, 0.037502, -0.000219, 0.037237, 0.000335, 0.037320, 0.001461, 
0, 0,  98.0,  20.98,  0.062, 1.618, 25.46, 0.039999, 0.001513, 0.039265, 0.000301, 0.039286, 0.000016, 0.039138, -0.000232, 0.038948, -0.000453, 0.038628, -0.000616, 0.038250, -0.000656, 0.037859, -0.000517, 0.037489, -0.000224, 0.037259, 0.000349, 0.037338, 0.001490, 
0, 0,  98.0,  21.07,  0.062, 1.618, 25.47, 0.040001, 0.001505, 0.039263, 0.000302, 0.039285, 0.000017, 0.039136, -0.000231, 0.038946, -0.000452, 0.038632, -0.000617, 0.038239, -0.000651, 0.037852, -0.000538, 0.037506, -0.000242, 0.037245, 0.000314, 0.037332, 0.001391, 
0, 0,  98.0,  21.07,  0.062, 1.620, 25.48, 0.040000, 0.001508, 0.039263, 0.000302, 0.039283, 0.000016, 0.039132, -0.000232, 0.038940, -0.000452, 0.038627, -0.000617, 0.038248, -0.000657, 0.037861, -0.000524, 0.037500, -0.000223, 0.037231, 0.000344, 0.037307, 0.001459, 
0, 0,  98.0,  21.04,  0.062, 1.618, 25.53, 0.039999, 0.001511, 0.039264, 0.000301, 0.039285, 0.000017, 0.039136, -0.000232, 0.038947, -0.000453, 0.038633, -0.000619, 0.038252, -0.000651, 0.037854, -0.000523, 0.037498, -0.000231, 0.037246, 0.000331, 0.037331, 0.001435, 
0, 0,  98.0,  21.07,  0.062, 1.618, 25.52, 0.040002, 0.001504, 0.039264, 0.000302, 0.039286, 0.000017, 0.039138, -0.000232, 0.038948, -0.000454, 0.038629, -0.000619, 0.038248, -0.000655, 0.037857, -0.000532, 0.037511, -0.000238, 0.037261, 0.000343, 0.037299, 0.001425, 
