Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  21.18,  0.055, 1.636, 24.99, 0.033448, 0.001549, 0.033994, 0.000533, 0.034099, 0.000235, 0.034113, 0.000023, 0.034065, -0.000079, 0.033972, -0.000153, 0.033820, -0.000200, 0.033644, -0.000082, 0.033501, 0.000217, 0.033471, 0.000788, 0.033772, 0.001840, 
0, 0,  98.0,  21.26,  0.055, 1.635, 25.10, 0.033747, 0.001547, 0.034081, 0.000375, 0.034153, 0.000163, 0.034097, 0.000034, 0.034057, -0.000077, 0.033961, -0.000157, 0.033821, -0.000181, 0.033618, -0.000079, 0.033494, 0.000208, 0.033458, 0.000772, 0.033760, 0.001748, 
0, 0,  98.0,  21.18,  0.056, 1.637, 25.17, 0.034721, 0.001374, 0.034103, 0.000372, 0.034159, 0.000169, 0.034100, 0.000028, 0.034058, -0.000081, 0.033964, -0.000170, 0.033817, -0.000196, 0.033644, -0.000074, 0.033478, 0.000218, 0.033436, 0.000764, 0.033745, 0.001765, 
0, 0,  98.0,  21.26,  0.056, 1.636, 25.21, 0.034718, 0.001378, 0.034102, 0.000372, 0.034158, 0.000170, 0.034100, 0.000028, 0.034058, -0.000081, 0.033961, -0.000172, 0.033812, -0.000191, 0.033638, -0.000076, 0.033462, 0.000200, 0.033442, 0.000731, 0.033768, 0.001727, 
0, 0,  98.0,  21.21,  0.056, 1.636, 25.28, 0.034720, 0.001371, 0.034100, 0.000373, 0.034157, 0.000170, 0.034098, 0.000029, 0.034056, -0.000081, 0.033961, -0.000169, 0.033810, -0.000199, 0.033640, -0.000088, 0.033487, 0.000207, 0.033459, 0.000769, 0.033730, 0.001751, 
0, 0,  98.0,  21.18,  0.056, 1.637, 25.31, 0.034718, 0.001374, 0.034099, 0.000372, 0.034156, 0.000170, 0.034096, 0.000029, 0.034054, -0.000080, 0.033957, -0.000173, 0.033809, -0.000188, 0.033638, -0.000091, 0.033479, 0.000219, 0.033440, 0.000779, 0.033750, 0.001744, 
0, 0,  98.0,  21.26,  0.056, 1.637, 25.31, 0.034717, 0.001377, 0.034100, 0.000372, 0.034157, 0.000170, 0.034098, 0.000027, 0.034055, -0.000081, 0.033960, -0.000171, 0.033810, -0.000196, 0.033638, -0.000079, 0.033473, 0.000216, 0.033434, 0.000755, 0.033745, 0.001770, 
0, 0,  98.0,  21.18,  0.056, 1.636, 25.45, 0.034718, 0.001370, 0.034099, 0.000373, 0.034156, 0.000169, 0.034097, 0.000029, 0.034054, -0.000082, 0.033956, -0.000170, 0.033810, -0.000199, 0.033633, -0.000091, 0.033476, 0.000187, 0.033428, 0.000769, 0.033733, 0.001761, 
0, 0,  98.0,  21.26,  0.056, 1.636, 25.55, 0.034714, 0.001379, 0.034101, 0.000371, 0.034158, 0.000171, 0.034098, 0.000027, 0.034053, -0.000081, 0.033960, -0.000173, 0.033816, -0.000188, 0.033632, -0.000081, 0.033469, 0.000209, 0.033439, 0.000749, 0.033759, 0.001746, 
0, 0,  98.0,  21.26,  0.056, 1.637, 25.53, 0.034717, 0.001374, 0.034098, 0.000372, 0.034156, 0.000170, 0.034094, 0.000027, 0.034054, -0.000080, 0.033959, -0.000173, 0.033814, -0.000191, 0.033634, -0.000081, 0.033473, 0.000211, 0.033427, 0.000743, 0.033718, 0.001707, 
0, 0,  98.0,  21.26,  0.056, 1.636, 25.47, 0.034715, 0.001378, 0.034099, 0.000372, 0.034156, 0.000171, 0.034097, 0.000028, 0.034054, -0.000081, 0.033958, -0.000172, 0.033811, -0.000195, 0.033633, -0.000085, 0.033456, 0.000196, 0.033448, 0.000725, 0.033755, 0.001751, 
0, 0,  98.0,  21.26,  0.056, 1.636, 25.38, 0.034717, 0.001371, 0.034098, 0.000373, 0.034155, 0.000170, 0.034097, 0.000028, 0.034054, -0.000080, 0.033961, -0.000171, 0.033806, -0.000199, 0.033637, -0.000095, 0.033488, 0.000198, 0.033447, 0.000773, 0.033734, 0.001724, 
